SE_ID,MLSV_YMD,FOOD_NM,POR_RANK
1,20231101,"['귀리쌀밥' '설렁탕' '돈육달걀장조림' '모닝빵샌드위치' '석박지' '고추장멸치볶음']","[2 6 3 1 5 4]"
2,20231107,"['배추김치' '대박닭꼬치구이' '근대된장국' '찹쌀밥' '잡채' '오징어브로콜리숙회']","[2 1 5 3 4 6]"
3,20231113,"['스파게티' '요거타임' '스프' '모닝빵' '딸기쨈' '양배추샐러드' '배추겉절이']","[5 2 4 1 3 6 7]"
4,20231127,"['지단' '깍두기' '유부팽이장국' '파인애플' '오므라이스']","[4 5 3 2 1]"
5,20231126,"['소고기무국' '대만식샌드위치' '건파래아몬드볶음' '배추김치' '낙지떡볶음' '찹쌀밥']","[4 1 3 5 6 2]"
6,20231125,"['조각콩밥' '숙주담은고기' '배' '깍두기' '떡만두국' '얼갈이된장무침']","[1 2 3 4 5 6]"
7,20231105,"['순두부찌개' '생선살까스' '총각김치' '버섯어묵볶음' '쿠키' '혼합잡곡밥']","[5 2 6 4 1 3]"
8,20230705,"['옥수수밥' '블루베리요거트' '닭갈비' '배추김치' '황태감자국' '잔멸치크랜베리볶음']","[3 4 1 6 5 2]"
9,20231111,"['고구마치즈범벅' '호박고추장찌개' '후레쉬업주스' '배추김치' '차조밥' '갓김치' '등심돈까스']","[3 6 7 4 1 5 2]"
10,20231024,"['오이미역초무침' '돈까스' '귤' '배추김치' '보리밥' '단호박스프']","[3 2 4 5 1 6]"
11,20231024,"['단호박스프' '귤' '배추김치' '돈까스' '보리밥' '오이미역초무침']","[1 4 5 2 3 6]"
12,20231030,"['팽이버섯미역장국' '요구르트' '국물떡볶이' '훈제오리볶음밥' '파인애플' '백김치']","[5 3 2 1 4 6]"
13,20231115,"['골드키위' '돼지고기김치찌개' '오이김치' '차수수밥' '탕평채' '생선커틀렛']","[3 5 6 1 4 2]"
14,20231107,"['브로콜리크림스프' '흑미밥' '치킨커틀렛' '골드키위' '오이미역초무침' '깍두기']","[1 2 3 4 5 6]"
15,20231025,"['팔보채' '햄모듬찌개' '총각김치' '건파래볶음' '기장밥' '독도는우리땅케이크']","[4 1 3 5 2 5]"
16,20231126,"['초코아몬드' '알감자베이컨조림' '배추김치' '케이준치킨샐러드' '발아현미밥' '순두부찌개']","[3 2 5 4 1 6]"
17,20231128,"['달걀찜' '바나나' '돈육김치찌개' '고추잡채' '찰옥수수쌀밥' '오징어무침' '깍두기']","[4 3 6 2 1 5 7]"
18,20230709,"['자두' '버섯잡채' '배추김치' '열무된장국' '차조밥' '치즈돈가스*소스']","[3 6 5 4 1 2]"
19,20231024,"['실곤약무침' '돈육메추리알매운조림' '보리밥' '콘칩팝콘볼' '깍두기' '얼갈이된장국']","[3 4 1 2 6 5]"
20,20230707,"['골드키위' '허니버터연근칩' '달걀찜' '현미밥' '김치감자탕' '깍두기' '장어강정']","[3 7 2 1 5 4 6]"